creative_id,image_url,creative_format,content_type,image_tags,sentiment_score,audit_status,created_date,campaign_id
CRE_000001,https://demo-assets.com/creatives/CRE_000001.png,Native,User Generated,"real,community,user,authentic,bold",0.51,Under Review,2024-05-08,CAM_000001
CRE_000002,https://demo-assets.com/creatives/CRE_000002.jpg,Audio,Testimonial,"review,customer,satisfaction,trust,classic",-0.32,Approved,2024-03-31,CAM_000001
CRE_000003,https://demo-assets.com/creatives/CRE_000003.png,Banner,User Generated,"real,community,user,authentic,bold",-0.21,Approved,2024-09-14,CAM_000001
CRE_000004,https://demo-assets.com/creatives/CRE_000004.png,Rich Media,Lifestyle,"people,lifestyle,authentic,emotional,bold",-0.19,Approved,2024-10-15,CAM_000001
CRE_000005,https://demo-assets.com/creatives/CRE_000005.jpg,Display,Brand Story,"heritage,story,values,mission,subtle,colorful",0.25,Pending,2024-06-12,CAM_000002
CRE_000006,https://demo-assets.com/creatives/CRE_000006.jpg,Display,Promotional,"sale,discount,offer,urgent,professional,trendy",-0.42,Approved,2025-04-28,CAM_000002
CRE_000007,https://demo-assets.com/creatives/CRE_000007.png,Audio,Brand Story,"heritage,story,values,mission,classic",0.48,Approved,2023-11-06,CAM_000002
CRE_000008,https://demo-assets.com/creatives/CRE_000008.png,Native,Promotional,"sale,discount,offer,urgent,modern",0.21,Approved,2024-07-30,CAM_000002
CRE_000009,https://demo-assets.com/creatives/CRE_000009.png,Banner,Promotional,"sale,discount,offer,urgent,trendy,professional,classic",-0.59,Pending,2024-11-01,CAM_000003
CRE_000010,https://demo-assets.com/creatives/CRE_000010.jpg,Audio,Testimonial,"review,customer,satisfaction,trust,colorful,bold",-0.04,Approved,2023-11-13,CAM_000003
CRE_000011,https://demo-assets.com/creatives/CRE_000011.jpg,Social Post,Promotional,"sale,discount,offer,urgent,classic,professional,bold",-0.6,Approved,2024-09-07,CAM_000003
CRE_000012,https://demo-assets.com/creatives/CRE_000012.gif,CTV,Educational,"informative,tutorial,how-to,expert,colorful",-0.02,Approved,2024-04-27,CAM_000003
CRE_000013,https://demo-assets.com/creatives/CRE_000013.gif,Audio,Lifestyle,"people,lifestyle,authentic,emotional,colorful",-0.49,Pending,2025-08-25,CAM_000004
CRE_000014,https://demo-assets.com/creatives/CRE_000014.png,Audio,Brand Story,"heritage,story,values,mission,classic",0.73,Approved,2025-03-07,CAM_000004
CRE_000015,https://demo-assets.com/creatives/CRE_000015.gif,Video,User Generated,"real,community,user,authentic,bold",-0.04,Pending,2023-09-22,CAM_000004
CRE_000016,https://demo-assets.com/creatives/CRE_000016.gif,Video,Educational,"informative,tutorial,how-to,expert,bold,trendy",-0.58,Approved,2024-06-30,CAM_000004
CRE_000017,https://demo-assets.com/creatives/CRE_000017.gif,Audio,Educational,"informative,tutorial,how-to,expert,bold,trendy",-0.37,Approved,2023-10-06,CAM_000005
CRE_000018,https://demo-assets.com/creatives/CRE_000018.gif,Native,Brand Story,"heritage,story,values,mission,classic",-0.6,Pending,2024-10-14,CAM_000005
CRE_000019,https://demo-assets.com/creatives/CRE_000019.png,Rich Media,Product Shot,"product,clean,minimalist,brand,classic",0.32,Rejected,2025-05-04,CAM_000005
CRE_000020,https://demo-assets.com/creatives/CRE_000020.jpg,Audio,Promotional,"sale,discount,offer,urgent,subtle",-0.48,Pending,2025-04-10,CAM_000005
