segment_id,audience_id,segment_name,primary_interest,secondary_interest,lookalike_segment_flag
SEG_000001,AUD_000001,Core Fitness Enthusiasts,Books,Social Causes,False
SEG_000002,AUD_000001,Value Environment Enthusiasts,Real Estate,Photography,False
SEG_000003,AUD_000001,Value Travel Enthusiasts,Art & Culture,Cooking,True
SEG_000004,AUD_000002,Core Real Estate Enthusiasts,Home & Garden,Luxury Goods,True
SEG_000005,AUD_000002,Niche Politics Enthusiasts,Business,Career Development,True
SEG_000006,AUD_000002,Core Health & Wellness Enthusiasts,Automotive,Celebrity News,True
SEG_000007,AUD_000002,Core Business Enthusiasts,Art & Culture,Local Events,True
SEG_000008,AUD_000003,Emerging Entertainment Enthusiasts,Real Estate,DIY Projects,True
SEG_000009,AUD_000004,Core Environment Enthusiasts,Fitness,DIY Projects,True
SEG_000010,AUD_000004,Value Health & Wellness Enthusiasts,Automotive,International News,False
SEG_000011,AUD_000004,Core Sports Enthusiasts,Art & Culture,Investment,True
SEG_000012,AUD_000004,Emerging Books Enthusiasts,Environment,Investment,False
SEG_000013,AUD_000005,Core Sports Enthusiasts,Fashion & Beauty,International News,False
SEG_000014,AUD_000005,Value Business Enthusiasts,Outdoor Activities,Career Development,False
SEG_000015,AUD_000006,Premium Fashion & Beauty Enthusiasts,Fitness,Social Causes,False
SEG_000016,AUD_000006,Core Environment Enthusiasts,Health & Wellness,Streaming,False
SEG_000017,AUD_000006,Niche Automotive Enthusiasts,Travel,DIY Projects,True
SEG_000018,AUD_000006,Premium Education Enthusiasts,Home & Garden,Social Media,False
SEG_000019,AUD_000007,Premium Automotive Enthusiasts,Parenting,Streaming,False
SEG_000020,AUD_000008,Emerging Sports Enthusiasts,Pets,Budget Shopping,True
SEG_000021,AUD_000008,Emerging Entertainment Enthusiasts,Parenting,Social Media,False
SEG_000022,AUD_000008,Core Sports Enthusiasts,Travel,Photography,False
SEG_000023,AUD_000008,Value Automotive Enthusiasts,Food & Dining,Photography,True
SEG_000024,AUD_000009,Core Automotive Enthusiasts,Books,Cooking,False
SEG_000025,AUD_000009,Emerging Automotive Enthusiasts,Business,Local Events,False
SEG_000026,AUD_000010,Value Education Enthusiasts,Books,Social Media,True
SEG_000027,AUD_000010,Niche Environment Enthusiasts,Politics,E-commerce,True
SEG_000028,AUD_000010,Value Sports Enthusiasts,Technology,Career Development,True
SEG_000029,AUD_000010,Premium Fitness Enthusiasts,Automotive,Celebrity News,False
SEG_000030,AUD_000011,Premium Fitness Enthusiasts,Technology,E-commerce,False
SEG_000031,AUD_000011,Niche Fitness Enthusiasts,Outdoor Activities,Social Media,True
SEG_000032,AUD_000011,Value Food & Dining Enthusiasts,Gaming,Eco-Friendly,True
SEG_000033,AUD_000011,Emerging Entertainment Enthusiasts,Entertainment,Local Events,True
SEG_000034,AUD_000012,Niche Real Estate Enthusiasts,Entertainment,Mobile Apps,True
SEG_000035,AUD_000013,Core Environment Enthusiasts,Food & Dining,Photography,True
SEG_000036,AUD_000013,Emerging Environment Enthusiasts,Environment,DIY Projects,False
SEG_000037,AUD_000014,Niche Food & Dining Enthusiasts,Education,Social Causes,True
SEG_000038,AUD_000014,Premium Outdoor Activities Enthusiasts,Science,Social Media,False
SEG_000039,AUD_000014,Emerging Business Enthusiasts,Environment,Luxury Goods,False
SEG_000040,AUD_000015,Niche Outdoor Activities Enthusiasts,Education,Social Causes,True
SEG_000041,AUD_000016,Emerging Education Enthusiasts,Technology,Eco-Friendly,False
SEG_000042,AUD_000017,Core Automotive Enthusiasts,Entertainment,Career Development,False
SEG_000043,AUD_000018,Premium Health & Wellness Enthusiasts,Entertainment,Streaming,False
SEG_000044,AUD_000019,Value Food & Dining Enthusiasts,Finance,Social Media,False
SEG_000045,AUD_000019,Emerging Environment Enthusiasts,Business,Social Causes,False
SEG_000046,AUD_000019,Premium Gaming Enthusiasts,Parenting,Investment,False
SEG_000047,AUD_000020,Core Fitness Enthusiasts,Automotive,Mobile Apps,True
SEG_000048,AUD_000020,Core Gaming Enthusiasts,Business,Celebrity News,False
SEG_000049,AUD_000020,Core Travel Enthusiasts,Technology,Photography,False
SEG_000050,AUD_000020,Value Politics Enthusiasts,Environment,Social Causes,False
